,id,State,Jurisdiction,AbbreviatedDistrict,ZoneAcres,FedStateAcres,MunicipalAcres,Jurisdiction_from_zoning,County,State_from_zoning,AbbreviatedDistrict_from_zoning,Full District,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot (ACRES),1-Family Front Setback (# of feet),1-Family Side Setback (# of feet),1-Family Rear Setback (# of feet),1-Family Max. Lot Coverage - Buildings (%),1-Family Max. Lot Coverage - Buildings & Impervious Surface (%),1-Family Min. # Parking Spaces,1-Family Max. Height (# of stories),1-Family Max. Height (# of feet),1-Family Floor to Area Ratio,1-Family Min. Unit Size (SF),2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot (ACRES),2-Family Max. Density (UNITS/ACRE),2-Family Front Setback (# of feet),2-Family Side Setback (# of feet),2-Family Rear Setback (# of feet),2-Family Max. Lot Coverage - Buildings (%),2-Family Max. Lot Coverage - Buildings & Impervious Surface (%),2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Max. Height (# of stories),2-Family Max. Height (# of feet),2-Family Floor to Area Ratio,2-Family Min. Unit Size (SF),3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot (ACRES),3-Family Max. Density (UNITS/ACRE),3-Family Front Setback (# of feet),3-Family Side Setback (# of feet),3-Family Rear Setback (# of feet),3-Family Max. Lot Coverage - Buildings (%),3-Family Max. Lot Coverage - Buildings & Impervious Surface (%),3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Height (# of stories),3-Family Max. Height (# of feet),3-Family Floor to Area Ratio,3-Family Min. Unit Size (SF),3-Family Max. # Bedrooms Per Unit,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot (ACRES),4+-Family Max. Density (UNITS/ACRE),4+-Family Front Setback (# of feet),4+-Family Side Setback (# of feet),4+-Family Rear Setback (# of feet),4+-Family Max. Lot Coverage - Buildings (%),4+-Family Max. Lot Coverage - Buildings & Impervious Surface (%),4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Height (# of stories),4+-Family Max. Height (# of feet),4+-Family Floor to Area Ratio,4+-Family Min. Unit Size (SF),4+-Family Max. # Bedrooms Per Unit,4+-Family Max. # Units Per Building,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot (ACRES),AH Max. Density (UNITS/ACRE),AH Min. # Parking Spaces Per Studio or 1BR,AH Min. # Parking Spaces Per 2+ BR,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size (SF),AH Max. # Bedrooms Per Unit,AH Max. # Units Per  Building,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot (acres),ADU Min. # Parking Spaces (Additional to Main Unit),"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Size (% of Main Unit),ADU Max. Size (SF),ADU Max. # Bedrooms Per Unit,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot (Acres),PRD Max. Density (Units/Acre),PRD Max. # Units Per Development,Special Notes,Tooltip Notes,AduMaxSizeLimit,1MUS,2MUS,3MUS,4MUS,MUS,1MLS,2MLS,3MLS,4MLS,1E,2E,3E,4E,AEld,PK,Full District Name
0,NORTH CAROLINA--CARY--CT-CONV,North Carolina,Cary,CT-CONV,6.682319917490503,0.0,6.682319917490503,Cary,Wake,North Carolina,CT-CONV,Walnut Street Corridor Transitional: Conversion Area,Yes,,Yes,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,,,10-25 depending on adjacent land use,10-25 depending on land use,,,2,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,,,,,,,,,,,,Prohibited,,,,,,,,,,,Not Mentioned,,,,,"Setbacks depend on adjacent land use, see Table 6.1-4",,False,False,False,False,False,False,A,A,A,A,No,No,No,No,No,2 for 1-family,
1,NORTH CAROLINA--CARY--CT-INFILL,North Carolina,Cary,CT-INFILL,19.861164222457408,0.0,19.861164222457408,Cary,Wake,North Carolina,CT-INFILL,Walnut Street Corridor Transitional: Infill Area,Yes,,Yes,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,,,0-18 depending on adjacent land use and street type,10-18 depending on adjacent land use and street type,,,"2 if Detached, 2 + 0.5 per 2+ brs for Townhouse",,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,,,,,,,,,,,,Prohibited,,,,,,,,,,,Not Mentioned,,,,,"3+ family-housing allowed as an accessory use; Setbacks depend on adjacent land use and street type, see Table 6.1-4",3+ family housing allowed as an accessory use,False,False,False,False,False,False,A,A,A,A,No,No,No,No,No,"2 if Detached, 2 + 0.5 per 2+ brs for Townhouse for 1-family",
2,NORTH CAROLINA--CARY--CT-REDEV,North Carolina,Cary,CT-REDEV,20.311346454746136,0.0,20.311346454746136,Cary,Wake,North Carolina,CT-REDEV,Walnut Street Corridor Transitional: Redevelopment Area,Yes,,Yes,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,10-25 depending on adjacent land use,10-25 depending on land use,,,2,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,,,,,,,,,,,,Prohibited,,,,,,,,,,,Not Mentioned,,,,,"3+ family-housing allowed as an accessory use; Setbacks depend on adjacent land use, see Table 6.1-4;",3+ family housing allowed as an accessory use,False,False,False,False,False,False,D,A,A,A,No,No,No,No,No,2 for 1-family,
3,NORTH CAROLINA--CARY--GC,North Carolina,Cary,GC,109.09842894113012,1.6751842299437916,107.42324471118633,Cary,Wake,North Carolina,GC,General Commercial,Yes,,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,,,,,,,,,,,,Prohibited,,,,,,,,,,,Prohibited,,,,,,,False,False,False,False,False,False,A,A,A,A,No,No,No,No,No,,
4,NORTH CAROLINA--CARY--GC-CU,North Carolina,Cary,GC-CU,80.63107776207386,0.0,80.63107776207386,Cary,Wake,North Carolina,GC-CU,General Commercial Conditional Use,Yes,,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,,,,,,,,,,,,Prohibited,,,,,,,,,,,Prohibited,,,,,,Conditional use district approved by special permit,False,False,False,False,False,False,A,A,A,A,No,No,No,No,No,,
5,NORTH CAROLINA--CARY--GC-CU/AIRPORTOVERLAY,North Carolina,Cary,GC-CU/Airport Overlay,49.86574664295712,0.0,49.86574664295712,,,,,General Commercial Conditional Use/Airport Overlay,,,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Mentioned,,,,,,,,,,,,Prohibited,,,,,,,,,,,Prohibited,,,,,,Conditional use district approved by special permit,False,False,False,False,False,False,A,A,A,A,No,No,No,No,No,,
6,NORTH CAROLINA--CARY--GC-CU/MIXEDUSEOVERLAY,North Carolina,Cary,GC-CU/Mixed Use Overlay,405.86727860255934,0.0,405.86727860255934,,,,,General Commercial Conditional Use/Mixed Use Overlay,,,,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Mentioned,,,,,,,,,,,,Allowed/Conditional,Yes,Yes,No,No,,,Yes,,,,Allowed/Conditional,N,,,,"Dimensions and uses may vary according to approved site plan, see Sec 4.4.2; PRD is Patio Dwelling; Dimensional standards may vary depending on Community, Regional, or Neighborhood level. Check again",Dimensions and uses may vary according to approved site plan,False,False,False,False,False,False,A,A,A,A,No,No,No,No,No,,
7,NORTH CAROLINA--CARY--GC/AIRPORTOVERLAY,North Carolina,Cary,GC/Airport Overlay,95.78043177896667,0.0,95.78043177896667,,,,,General Commercial/Airport Overlay,,,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Mentioned,,,,,,,,,,,,Prohibited,,,,,,,,,,,Prohibited,,,,,,,False,False,False,False,False,False,A,A,A,A,No,No,No,No,No,,
8,NORTH CAROLINA--CARY--GC/LCR,North Carolina,Cary,GC/LCR,0.13175235727867743,0.0,0.13175235727867743,,,,,General Commercial/Conservation Residential - Low Density,,,,Mixed with Residential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,"0.14 - 0.23 depending on % open space, see Table 4.4-2.",Contextual,5 min/15 total,Contextual,,,,,,,,,,"0.14 - 0.23 depending on % open space, see Table 4.4-2.",,Contextual,5 min/15 total,Contextual,,,,,,,,,,,"0.14 - 0.23 depending on % open space, see Table 4.4-2.",,Contextual,5 min/15 total,Contextual,,,,,,,,,,,,,,"0.14 - 0.23 depending on % open space, see Table 4.4-2.",,Contextual,5 min/15 total,Contextual,,,,,,,,,,,,,Not Mentioned,,,,,,,,,,,,Allowed/Conditional,No,No,No,No,,2,Yes,33.0,800,,Not Mentioned,,,,,"Setbacks vary by lot size and other conditions, see Sec 4.4.3.H",,True,False,False,False,False,False,B,B,B,B,No,No,No,No,No,,
9,NORTH CAROLINA--CARY--GC/MIXEDUSEOVERLAY,North Carolina,Cary,GC/Mixed Use Overlay,433.5057921358311,0.0,433.5057921358311,,,,,General Commercial/Mixed Use Overlay,,,,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Mentioned,,,,,,,,,,,,Allowed/Conditional,Yes,Yes,No,No,,,Yes,,,,Allowed/Conditional,N,,,,"Dimensions and uses may vary according to approved site plan, see Sec 4.4.2; PRD is Patio Dwelling; Dimensional standards may vary depending on Community, Regional, or Neighborhood level. Check again",Dimensions and uses may vary according to approved site plan,False,False,False,False,False,False,A,A,A,A,No,No,No,No,No,,
